Minisector,RAI,KVY,Fastest
0,269.84850613005887,275.989275228713,KVY
1,285.4769258789428,292.6661137360316,KVY
2,276.1442499503984,284.7515721067934,KVY
3,176.5316322234857,173.28492843567906,RAI
4,130.44654163836734,132.22942446231613,KVY
5,240.4025049145421,248.03477022947143,KVY
6,278.5520415152221,295.867548735598,KVY
7,285.64281445535715,301.78608126161885,KVY
8,177.21974495560585,165.24322930076312,RAI
9,148.00393471511595,149.540004355187,KVY
10,251.30023845712319,256.56634014427885,KVY
11,280.4557019700102,288.78270325047106,KVY
12,290.32746217835495,297.7324633618057,KVY
13,286.2450293705669,283.2642540766532,RAI
14,294.35373055485036,300.6693934181072,KVY
15,288.98265032315356,301.9261455605268,KVY
16,254.25163926385426,244.14389341134327,RAI
17,235.7226023162538,226.04170448577767,RAI
18,279.8911779855291,288.615543004898,KVY
19,297.8528572342857,317.9880943390989,KVY
20,303.09484634557737,317.7468323723468,KVY
21,234.49844602978322,209.4940020154028,RAI
22,256.68240243895104,253.05850183654,RAI
23,144.23888360990605,135.02101151327807,RAI
24,225.5062070526762,230.73611897156385,KVY
