Minisector,HAM,ALO,Fastest
0,290.49380131338984,267.4400053472194,HAM
1,109.8853373863579,112.12865105437528,ALO
2,165.98260711863097,151.78612290666666,HAM
3,208.17366748104826,208.10921234047865,HAM
4,162.4771784211016,153.86579716576662,HAM
5,243.09150361410016,237.85551432144248,HAM
6,203.50490967720773,216.8950846565244,ALO
7,135.2362359284372,126.52317473445666,HAM
8,240.4278527846698,228.46123308489751,HAM
9,286.1168650793651,273.6191538765856,HAM
10,299.37453493181135,278.4236332444445,HAM
11,153.41731398222223,151.64887230578694,HAM
12,222.39413162469674,221.02899051959596,HAM
13,271.6123364802219,270.57764039708684,HAM
14,271.3621428571428,271.9612278244631,ALO
15,103.11217821425413,102.31297275315553,HAM
16,213.51502033454545,209.84706404039517,HAM
17,275.2180568917224,270.40190500961165,HAM
18,307.43962184873953,289.96969951617007,HAM
19,322.6787476016618,300.7743112819631,HAM
20,332.2853651139048,306.1251417687075,HAM
21,291.31244019138757,287.3080357142857,HAM
22,146.73459089511522,150.1563567910353,ALO
23,231.8481155088298,229.97193801217617,HAM
24,268.2503178723196,274.14893443504786,ALO
25,,283.79612751947116,ALO
