Minisector,HAD,LIN,Fastest
0,207.05159670222224,161.45214891,HAD
1,205.0,127.4933833912782,HAD
2,243.7105316605215,151.35193451191375,HAD
3,272.87833294222224,198.3991530598942,HAD
4,280.4857145904762,212.15719851780943,HAD
5,167.8211200688172,165.40042560377805,HAD
6,112.867652236,105.48162177710077,HAD
7,149.22661063225806,142.76077628121212,HAD
8,197.5515757848396,168.78497580558292,HAD
9,161.66967741935485,145.7494328757423,HAD
10,103.9458646534321,147.33446633333332,LIN
11,128.24215695686274,135.68577867959596,LIN
12,178.83103127107992,165.44735149985183,HAD
13,172.43153846153848,204.9964286095238,LIN
14,126.84609267794741,241.46613102999456,LIN
15,140.38996279911862,248.5124999195767,LIN
16,190.6445711481905,200.43017045251415,LIN
17,235.911719815013,196.31342961777776,HAD
18,255.963623856,221.39139588571427,HAD
19,277.875,254.36084642539686,HAD
20,299.26875,268.496166464,HAD
21,308.40333312,228.0181341387755,HAD
22,312.2,156.02275862068964,HAD
23,322.6981816630303,120.93666816,HAD
24,323.84,,HAD
25,323.0,,HAD
