Minisector,NOR,PER,Fastest
0,293.85348933875076,293.4756303090128,NOR
1,306.55837329109437,307.3522865653781,PER
2,313.7730476381699,313.49293205360607,NOR
3,314.31083322666666,314.7105764319533,PER
4,190.90550432573477,193.964190749899,PER
5,211.71372754364532,211.3323949409994,NOR
6,268.3861669005848,267.4414868525205,NOR
7,271.60837317155557,270.4520180462585,NOR
8,193.3049609351065,185.42107849932833,NOR
9,142.3151122863413,145.05804679382817,PER
10,182.75437543675574,181.54145127159356,NOR
11,261.5988464069264,259.2528876424566,NOR
12,247.17273755692435,252.79813567757574,PER
13,231.01250941849804,233.26488959552734,PER
14,272.053584616127,274.69410670597125,PER
15,163.84392986340134,169.1516348914097,PER
16,220.9137942912,217.24922663297968,NOR
17,232.6723452253262,228.80294220484583,NOR
18,131.5540433297143,130.9196420168623,NOR
19,241.3023934193963,244.20199007715757,PER
20,282.5880202600151,281.97516079795065,NOR
21,237.91676506131517,234.20952308838568,NOR
22,138.4444055259259,139.3286008460717,PER
23,204.7990675098533,216.5260771466311,PER
24,271.88332882539686,271.3281023431305,NOR
