Minisector,LEC,ALB,Fastest
0,323.5124603527014,317.3047548816126,LEC
1,338.2597086845113,326.74656249,LEC
2,337.55299979147867,323.9220110771581,LEC
3,201.45930454337238,183.82618907283833,LEC
4,110.94093627404878,123.55029852650529,ALB
5,259.1428776301351,265.9105188767273,ALB
6,299.8455919703309,296.36848608987015,LEC
7,319.611044186723,314.3695370745679,LEC
8,279.17855079997827,261.86045074194675,LEC
9,133.40725902116094,139.69107309305014,ALB
10,207.15278045131558,202.28099255565175,LEC
11,208.94121989817918,208.1497354528567,LEC
12,188.0558487825192,187.4094734043369,LEC
13,264.75045739192143,265.35691650133333,ALB
14,307.755692738089,299.86716206049095,LEC
15,324.56551992407685,312.63712589351474,LEC
16,273.4351661124488,256.53952949335394,LEC
17,198.17416295009417,203.22734944550064,ALB
18,265.9468539873568,269.60550348733733,ALB
19,305.79861538966804,303.7992188706151,LEC
20,324.10838626913716,319.74010025062654,LEC
21,322.03941354666665,287.91294955100113,LEC
22,195.0962946337676,196.6006409682422,ALB
23,258.74206682822273,260.1612193340837,ALB
24,303.350330210915,300.11351923305784,LEC
