Minisector,RUS,NOR,Fastest
0,294.71142437034933,310.8927978002107,NOR
1,225.4197126359158,229.156822123087,NOR
2,133.25981894550094,125.85373560166941,RUS
3,230.33818594207975,231.09735853559238,NOR
4,195.88259729858282,193.08092483804552,RUS
5,241.59783793021646,241.6130878207792,NOR
6,221.15281989003594,226.3796831721495,NOR
7,255.85642837438422,252.46676853018064,RUS
8,283.0211134130444,278.23292228053333,RUS
9,199.68144146501936,213.4932762268398,NOR
10,207.69936852236103,204.11161783726791,RUS
11,270.51366537784554,270.08640732060604,RUS
12,210.2162084302793,205.53113870929292,RUS
13,249.50412162520723,241.95174712960252,RUS
14,288.8859754100709,288.2119452908975,RUS
15,301.34270461404293,308.8303024272682,NOR
16,296.1609347606734,308.2419710261472,NOR
17,229.3367944384549,222.17087150040152,RUS
18,267.2417571088254,265.0138565039456,RUS
19,292.2636408743896,297.37267568482923,NOR
20,304.2599346284948,316.96176240028825,NOR
21,299.8331331168831,315.41156680076193,NOR
22,148.66853651531434,143.08518922560313,RUS
23,230.3116445189896,237.86453008232627,NOR
24,279.790480255961,291.7878966831746,NOR
25,289.07083413333334,,RUS
