Minisector,BOT,OCO,Fastest
0,239.52661577339651,232.92873604463855,BOT
1,287.83600025600003,282.28750026666665,BOT
2,301.7123803990128,299.5212227982587,BOT
3,308.3988095873016,304.93124995555553,BOT
4,268.43966218271606,262.266780828196,BOT
5,171.27843346544108,164.80800516589147,BOT
6,265.50703519604207,261.7479775746201,BOT
7,285.3316667733333,282.52147442051285,BOT
8,212.89570859807733,205.3473235449375,BOT
9,226.1726106375888,218.06119585280317,BOT
10,180.21771363503896,179.49614528,BOT
11,232.17059532456435,225.10199669563278,BOT
12,209.41034990726155,201.18518459259258,BOT
13,211.3936820449227,204.2849350448335,BOT
14,228.26101786845624,218.03666671935613,BOT
15,177.53768008661484,176.88267234285715,BOT
16,250.2551804866429,245.7457190694253,BOT
17,290.8311236113463,287.51744543296707,BOT
18,304.97595332628686,301.4521739594203,BOT
19,288.781343704486,287.8867511794872,BOT
20,128.78960785317173,126.51986700951633,BOT
21,155.2490141539271,153.50995854707512,BOT
22,158.83325162638766,148.63100331601674,BOT
23,202.1050936152628,196.15333636727593,BOT
24,149.30240330989272,145.67932091382002,BOT
25,192.50000213333334,186.5333376,BOT
