Minisector,LEC,GAS,Fastest
0,308.7388528035277,300.7433271163363,LEC
1,198.05772668281205,184.7997991852392,LEC
2,220.9104981228369,215.73888741443588,LEC
3,270.82514922574313,271.6129528901027,GAS
4,227.71413292320324,240.97901564559942,GAS
5,126.82289989923355,120.86990664988699,LEC
6,205.48594166320987,198.03364260010946,LEC
7,244.51526732674702,240.45506963279504,LEC
8,236.4872343658197,234.32281282635137,LEC
9,238.63525955572106,233.60577246379626,LEC
10,285.30293814688423,287.8340383219994,GAS
11,308.52179876648864,308.9957442485901,GAS
12,319.36382260035276,318.24869313527995,LEC
13,316.671898688,313.92460665121234,LEC
14,304.90154987570503,311.0,GAS
15,249.22613424899902,311.0,GAS
16,232.7695461183516,236.94699503637187,GAS
17,272.35189624069113,268.31364134938326,LEC
18,279.0130622811429,289.69446954666665,GAS
19,156.71489010830152,184.53259798490294,GAS
20,196.74229901157676,174.47969885074116,LEC
21,169.15873733326646,192.6070521503016,GAS
22,136.61983639653735,120.22694155250272,LEC
23,228.87619030881157,205.5572980252814,LEC
24,291.551631863107,282.9494855415589,LEC
25,304.87000064,299.0973607822222,LEC
