Minisector,MAG,OCO,Fastest
0,293.5486719873836,289.16738056272106,MAG
1,303.1865474342857,299.47208065274174,MAG
2,278.48645626755473,280.71384165502644,OCO
3,103.97092355702395,107.82185461847209,OCO
4,220.41636084666666,218.1366187432497,MAG
5,271.58587961984136,269.4270815464141,MAG
6,210.99164856047,206.125950341215,MAG
7,153.0938099180124,157.22524319648574,OCO
8,214.14388550860147,209.23442178386705,MAG
9,211.03039824525447,213.59205718556143,OCO
10,108.87027341003481,113.64753348116183,OCO
11,226.60325126480038,221.4555014992208,MAG
12,117.7898784040635,114.8895501258034,MAG
13,220.0269413480635,210.7724418992563,MAG
14,275.994728636152,271.4961746471222,MAG
15,208.26839637151926,219.863261372517,OCO
16,181.9707526289705,183.65871985125696,OCO
17,248.37609903379186,248.57058672000002,OCO
18,200.27090445098796,206.28464720700683,OCO
19,171.7366655266924,164.69349487169654,MAG
20,259.7936647328423,260.1563481818182,OCO
21,289.5221531689697,285.2187421806098,MAG
22,168.5602011698475,178.2191529877686,OCO
23,208.82287987411138,192.51902081505534,MAG
24,271.3874955630623,263.6479359593651,MAG
25,,279.57916693333334,OCO
