Minisector,SAI,ALB,Fastest
0,296.4718882753102,302.0185558986114,ALB
1,304.62648807619047,315.6363948843537,ALB
2,307.03216811505195,323.4769233230769,ALB
3,295.5224356923077,327.96879741253963,ALB
4,194.85419939712583,221.32729358447835,ALB
5,96.97002581296977,96.39212432826052,SAI
6,206.7396835555556,195.993510770068,SAI
7,258.04737724615103,250.02747458349435,SAI
8,280.559896,283.18316526346564,ALB
9,281.2461095822222,293.4436110933333,ALB
10,144.52447994774485,159.31352596048697,ALB
11,177.13073116829145,164.33132698989544,SAI
12,241.1513893925926,232.34934293333333,SAI
13,241.67198959576723,240.08275910407423,SAI
14,148.06138783821578,153.49071116406571,ALB
15,209.93412091578483,200.081225191342,SAI
16,259.9028214088979,255.04858165298816,SAI
17,281.0811757809524,276.2547226311111,SAI
18,292.80972236190473,287.15439014285715,SAI
19,299.51095314595295,294.5580557511111,SAI
20,291.67741931960205,284.4132127739288,SAI
21,150.28190414979525,152.4849136183908,ALB
22,208.57523934476188,200.183938948585,SAI
23,258.0577723982575,252.7397061647059,SAI
24,282.39680091428573,276.56250066666666,SAI
25,,284.48333333333335,ALB
