Minisector,ALO,PER,Fastest
0,303.2877589555073,311.07965694117644,PER
1,215.88595791227053,219.32751162546677,PER
2,131.2421071079162,126.06331534359435,ALO
3,218.78494396919788,209.99139155868892,ALO
4,264.286870075739,262.50704590683983,ALO
5,288.69006099666666,288.0509503013273,ALO
6,295.6538807508497,303.8977309390481,PER
7,257.71132075202064,259.2798070222222,PER
8,171.53207560799308,168.86092648034477,ALO
9,240.38311140567924,242.7240735401777,PER
10,268.0211468265793,275.22895116140774,PER
11,259.6007849356725,259.4176806316544,ALO
12,206.2024606429807,205.32699655777776,ALO
13,124.43437185975549,115.67332464644429,ALO
14,125.02678993691562,126.44772866109953,PER
15,160.50673848356797,163.2392193167347,PER
16,123.17550473196324,124.00610585529225,PER
17,226.50242732946532,225.46197611307633,ALO
18,173.0156545219614,167.30195077514026,ALO
19,162.7649513367119,169.81227897998357,PER
20,244.47506570333334,245.7448475030688,PER
21,271.8005329766261,276.560397192127,PER
22,293.4030633720635,292.79644362696047,ALO
23,312.34130318933336,302.22773446761903,ALO
24,323.27148432285713,307.0258619520635,ALO
25,327.0,,ALO
