Minisector,GAS,PER,Fastest
0,281.98869622648067,277.747979064818,GAS
1,297.30986540691174,294.9622950384486,GAS
2,249.41648003642857,223.03268817737612,GAS
3,122.6609797156975,111.39693345551258,GAS
4,145.50565276930905,138.86080682214967,GAS
5,252.03720632381706,251.93302020715137,GAS
6,253.31885958916666,238.43500261978022,GAS
7,130.76306125867595,124.30749724920841,GAS
8,250.28876790886875,249.1466264224855,GAS
9,268.3895833212121,254.12308555789198,GAS
10,217.95730453346258,201.0239336887774,GAS
11,150.32234900155703,139.55507402954765,GAS
12,215.58277890369865,211.0550251309074,GAS
13,261.9882665233622,248.28176632387962,GAS
14,119.27818058130221,111.38071682019216,GAS
15,208.5913760897566,194.99794158275776,GAS
16,262.3443788196795,259.04441221822026,GAS
17,288.2272124114949,287.78066325295276,GAS
18,297.51492411466467,301.40672649144955,PER
19,299.8421052631579,306.64583338666665,PER
20,300.52552547472783,308.8349075169795,PER
21,167.7608966162723,131.57866651358458,GAS
22,155.01114911118316,179.02223482815515,PER
23,201.06980198529465,186.89471844211326,GAS
24,231.66169091276677,240.22608830715907,PER
