Minisector,PER,ALO,Fastest
0,269.52387246547863,273.64541836229625,ALO
1,291.6524077035498,290.1623988578897,PER
2,283.4763895163823,279.2057450946336,PER
3,156.73931747887957,162.31618063350064,ALO
4,192.30004616097108,190.45680780490724,PER
5,167.8112922816259,172.53866206400576,ALO
6,157.3229982556391,167.14100412011595,ALO
7,183.28128014943348,188.33458595861313,ALO
8,235.24137475566883,241.54647346234256,ALO
9,229.35852198772457,236.53459202936043,ALO
10,141.34639558919247,144.1226880809477,ALO
11,218.3741441611729,213.6874007055241,PER
12,104.43311963228987,112.91071100964535,ALO
13,212.7929616336939,203.7726771928454,PER
14,264.9914977004316,264.10442879521736,PER
15,272.9281378937198,277.1271066209524,ALO
16,169.79553783015643,193.38630643504126,ALO
17,152.1582498030044,157.6982636463889,ALO
18,250.0329074333054,252.85968562616978,ALO
19,281.2033806714834,281.33884690216996,ALO
20,294.56862772298365,293.7323948468864,PER
21,287.9401655185083,293.67889283555553,ALO
22,232.3840602748924,255.5101194732506,ALO
23,100.17622373091719,97.49914655412238,PER
24,216.44392655069146,213.52852709141388,PER
25,254.520832,257.7857127619048,ALO
