Minisector,BOT,HUL,Fastest
0,287.553081707563,289.1618788510363,HUL
1,136.2684770995889,138.03632657924163,HUL
2,155.52211814632577,137.75434952707246,BOT
3,223.8990559080015,227.8616536220109,HUL
4,167.38339763451478,159.0745536530783,BOT
5,245.47896719555692,238.04122683508774,BOT
6,225.00416789333335,232.58453959183672,HUL
7,138.1612749490196,130.4537281824192,BOT
8,235.12416602666667,225.44071967607098,BOT
9,277.2435112346717,273.1724818222222,BOT
10,286.45807386666667,288.4898357600307,HUL
11,151.9737194961511,157.25799752634921,HUL
12,220.56541685333332,208.1181114900037,BOT
13,270.65980878127954,265.30773732063494,BOT
14,272.75882202352943,280.2376150265387,HUL
15,105.50541804657988,105.28722527234387,BOT
16,218.5573684182224,203.47004171724876,BOT
17,271.27968516285944,264.75617893781515,BOT
18,293.1841148,291.2093746,BOT
19,304.5282937498413,302.28674263342407,BOT
20,310.9295771270296,309.15111104,BOT
21,295.0631298761905,301.42166848,HUL
22,157.24515371556672,156.30129462643552,BOT
23,232.5189359458854,226.3361094095238,BOT
24,276.56586178151264,274.3027594464592,BOT
25,287.14285714285717,285.2166656,BOT
