Minisector,VER,RIC,Fastest
0,286.9958332121212,288.035869542029,RIC
1,306.61135237238994,306.19044100315995,VER
2,305.00749984,302.1220455527605,VER
3,185.89131353490183,183.4948911674525,VER
4,220.6122469518622,224.19324722081544,RIC
5,207.86724097471264,210.0974957083744,RIC
6,193.40946958267247,194.94907306229737,RIC
7,213.9219069020408,215.79035273315907,RIC
8,258.99289366863593,260.0416671229453,RIC
9,266.50790690585836,264.22882268343255,VER
10,179.11110479051817,174.39606811537095,VER
11,240.8908154962266,241.79787162657377,RIC
12,116.99929565528255,116.48257260368203,VER
13,231.25773924797178,233.0785726065934,RIC
14,277.8720246948836,277.0690884412292,VER
15,284.56639561558444,282.5028678995671,VER
16,205.652049000183,203.2169620735458,VER
17,184.1137871182665,191.61875134285714,RIC
18,269.96556849392994,273.01413799285064,RIC
19,295.9234129995465,297.5047622603174,RIC
20,308.4617104627515,308.5748601710499,RIC
21,309.20124976,307.488094984127,VER
22,269.8086032945746,258.6885390275328,VER
23,121.31068436613765,120.36245275513944,VER
24,244.05487955493737,246.68753604501657,RIC
25,275.0750016,,VER
