Minisector,NOR,BOR,Fastest
0,248.92023658495242,244.4627128877598,NOR
1,132.52568729435228,136.56417836037414,BOR
2,283.21791770718806,271.808323446127,NOR
3,321.52255846299727,305.3099699149209,NOR
4,302.3400724429764,290.97135067715936,NOR
5,321.56209540723495,308.5010425458577,NOR
6,323.8500362522751,308.33539638435303,NOR
7,318.6249999259259,306.57129923535825,NOR
8,192.96019182194993,207.22065990860386,BOR
9,196.01452303466223,186.78011845010124,NOR
10,173.1637769660933,188.44583255791213,BOR
11,171.251367460703,170.0811699171381,NOR
12,249.49008198484532,239.53006212224494,NOR
13,266.257650603821,262.13194569336963,NOR
14,261.5170862340887,263.3538844146237,BOR
15,252.70188274797613,263.3789544956295,BOR
16,167.02225867986445,176.41591521804767,BOR
17,189.08198408259494,187.7383663078544,NOR
18,250.7211860550616,233.73725248492997,NOR
19,303.22289208330363,282.85740940546725,NOR
20,323.48845825092786,311.45274025142857,NOR
21,315.2009595768915,295.1430899033409,NOR
22,300.9968347373871,276.02579998635804,NOR
23,249.3566832908642,253.58158110981418,BOR
24,117.6046926957821,118.0298421627439,BOR
25,229.7995454977511,218.1956978725926,NOR
