Minisector,NOR,ANT,Fastest
0,276.7919076738047,273.4786217267829,NOR
1,304.9420166385331,302.012378851498,NOR
2,326.828500288,316.5884418521212,NOR
3,337.64786259369316,324.9517003319728,NOR
4,342.8985161717223,328.81039180317464,NOR
5,332.93226994285715,330.71730983009525,NOR
6,199.20517228281903,206.19802765780537,ANT
7,104.99104154798648,109.7962261818504,ANT
8,184.7313488740736,192.71669879911897,ANT
9,265.0740521592053,263.2021477017445,NOR
10,296.8272424242017,290.10800562614384,NOR
11,174.6294152588297,162.83961475517927,NOR
12,94.19385986891909,94.6300252473467,ANT
13,113.74860598104249,116.86703674563708,ANT
14,219.49370758023755,219.49059242622832,NOR
15,187.55972817299443,189.77487216502047,ANT
16,216.14825559706287,223.75044230095236,ANT
17,177.1368171376837,182.10495995733334,ANT
18,241.12307072593526,229.95922923438698,NOR
19,279.12743056911296,277.33924696052287,NOR
20,240.69177118423744,248.30338498813984,ANT
21,147.56759118032193,148.6567016352567,ANT
22,96.67633837765844,96.25182891146787,NOR
23,124.56959279406766,121.57181121597253,NOR
24,233.48297097396065,217.58358952151173,NOR
25,,254.8812488,ANT
