Minisector,SAI,MAG,Fastest
0,278.79153640350734,280.15915274378153,MAG
1,295.4212498133333,297.5331161904626,MAG
2,234.27639957809978,241.87941695873016,MAG
3,112.62248621885252,119.88786516597082,MAG
4,132.6537937458986,123.58184505657164,SAI
5,248.5778038700355,246.13527327569773,SAI
6,254.3880767065645,260.90521538850754,MAG
7,122.76750556363679,123.00408962619048,MAG
8,247.4616392695652,245.87460709673866,SAI
9,255.29188588432962,262.3835921026915,MAG
10,207.97992622134646,198.42538279281013,SAI
11,144.42163061592146,143.08204271049803,SAI
12,210.18684749940343,203.79121974421767,SAI
13,262.24288443290044,263.7291141334903,MAG
14,119.29813700559919,117.77264723373135,SAI
15,191.50119399068052,183.01249976666668,SAI
16,256.5050724637681,254.2945739345153,SAI
17,287.40951622702545,287.9363095873016,MAG
18,300.36979162666665,300.8183333333333,MAG
19,305.9513158736842,305.68657404444446,SAI
20,309.79978060350874,310.11499989333333,MAG
21,163.48493181850685,183.1534504416811,MAG
22,147.60831314423854,134.1992801355941,SAI
23,199.4407293515711,196.33809411906847,SAI
24,236.74207697232464,231.5154560867735,SAI
25,264.97095620805476,268.38472284444447,MAG
