Minisector,NOR,ALO,Fastest
0,288.9807528235615,294.0789772329004,ALO
1,301.3560127612174,314.50679809122806,ALO
2,305.67104165333336,326.3306878306878,ALO
3,306.9124615171006,325.98625673573633,ALO
4,246.29971690931677,253.010500608,ALO
5,194.55693818902503,186.74351057200988,NOR
6,258.1581784937098,255.10597797101448,NOR
7,279.2325672778504,278.1683034102,NOR
8,214.2519598618502,197.20341401690328,NOR
9,211.23964029729382,203.7755836185088,NOR
10,136.67105703198547,133.37259714119904,NOR
11,246.3158143971812,242.53372763419918,NOR
12,275.91111175247016,268.9287607757576,NOR
13,218.15351667640257,213.08688046891814,NOR
14,262.2002417366886,258.50833303188404,NOR
15,226.55921035910424,219.41518990385998,NOR
16,181.37830044151244,181.19351271815412,NOR
17,258.584958402202,255.1987848888889,NOR
18,149.71004265494506,147.5128643719571,NOR
19,207.8007444442239,205.15971671279303,NOR
20,274.4152618402646,268.19428998847286,NOR
21,290.7227238130066,293.34559101964646,ALO
22,162.2436945016544,157.28022788564797,NOR
23,178.85373919146136,174.23436028168842,NOR
24,258.2976419248527,257.31324703601865,NOR
25,278.7375008,,NOR
