Minisector,BOT,LEC,Fastest
0,315.83664023703705,291.14833960902257,BOT
1,242.90601878437383,217.90798781808812,BOT
2,153.22445160550447,140.4354364085459,BOT
3,228.0376110131757,221.20607582222223,BOT
4,161.04537011131245,156.35079651971688,BOT
5,174.330931816159,169.08209929071376,BOT
6,250.67961621469368,247.22222212063494,BOT
7,273.6975002666667,270.3779259622787,BOT
8,277.4549392655999,277.0125000421053,BOT
9,258.93052941646266,253.67270424671202,BOT
10,243.41131022222223,243.27793192240551,BOT
11,242.7907936507669,245.45978272463768,LEC
12,213.94086260380703,211.396333312,BOT
13,148.9272411477657,135.93549663572716,BOT
14,159.61672854597555,153.13196330232617,BOT
15,193.02278358601686,169.88356652824996,BOT
16,260.93871084632826,249.40513817212593,BOT
17,245.60219861251682,249.57442191680298,LEC
18,119.37121041368434,113.66300423069605,BOT
19,199.87884508717949,187.63182387482993,BOT
20,184.20430583434373,195.14241081904763,LEC
21,204.89265928937039,230.19358285694852,LEC
22,250.49598343411157,262.5040205423747,LEC
23,272.8367818142353,275.369648957933,LEC
24,287.96988081523807,284.74758770526313,BOT
25,,287.57499977142857,LEC
