Minisector,VER,BEA,Fastest
0,271.1236549102088,272.1816341714286,BEA
1,247.53886847337475,247.54717790970787,BEA
2,120.99790044479633,119.23609090094861,VER
3,169.21921862841248,166.87350666453662,VER
4,197.0205220456192,195.63154437390511,VER
5,189.3818789388775,196.2437014523191,BEA
6,260.48627887299915,263.60797779963457,BEA
7,284.18004157866665,285.3428245333333,BEA
8,237.37911799713646,239.7021873223182,BEA
9,149.28329809964552,147.64692599779272,VER
10,122.28139554818776,119.71177785321426,VER
11,166.85852029805028,160.56822970198127,VER
12,247.30332687150025,246.23680610575963,VER
13,158.8517985769634,161.88384865499347,BEA
14,145.63927059849726,139.6202758538785,VER
15,106.1740220031843,106.1735896451912,VER
16,215.45670179660502,212.31263215894597,VER
17,240.42093923189714,247.12854400507936,BEA
18,130.44612387616445,127.70363358455919,VER
19,240.71758874677707,239.47341700761746,VER
20,273.72250602185466,274.0017147821068,BEA
21,200.75314769084312,226.0544475736989,BEA
22,152.0639730885748,140.74041709589125,VER
23,220.83568535482445,225.3815391627118,BEA
24,228.44227863331972,230.71354288530023,BEA
25,,259.3727290181818,BEA
