Minisector,NOR,BEA,Fastest
0,308.7483833936842,324.3512756825397,BEA
1,237.4555419954978,225.875805985974,NOR
2,131.60708444437446,130.0266966138273,NOR
3,221.2294575021068,216.70515164223605,NOR
4,263.19557973620965,261.1423311632567,NOR
5,293.0485408498997,288.6562663335845,NOR
6,306.88244428800004,304.52343175887955,NOR
7,288.16145854306876,268.4690041596761,NOR
8,173.43759604512823,174.08035633085197,BEA
9,231.95171803999997,242.1722357664413,BEA
10,274.4481729974026,273.90042713766235,NOR
11,273.2396708888889,266.3342221796779,NOR
12,211.98770985165945,202.4643644730736,NOR
13,126.42347701655558,120.94504767352304,NOR
14,117.87658424792463,121.58902564955211,BEA
15,169.6493225075132,163.35725282907498,NOR
16,118.69253342520058,122.00247756188914,BEA
17,225.2692024204287,230.3563834115389,BEA
18,198.59803118814816,178.8466630247619,NOR
19,158.43176916292776,159.36430274553044,BEA
20,245.67524404994708,244.84204884723246,NOR
21,274.37428763247027,276.3683988799853,BEA
22,291.2295903756254,295.74347316622226,BEA
23,301.0652677942857,313.5616426109904,BEA
24,306.87479513801935,323.8158097188571,BEA
