Minisector,HAD,COL,Fastest
0,300.9648266943723,287.7789115203475,HAD
1,310.30187085099413,294.12083326060605,HAD
2,221.19117955253893,227.1821993489326,COL
3,158.0244443022222,111.36824369182051,HAD
4,158.0,153.4104300397712,HAD
5,196.91177745253458,264.79119806430015,COL
6,272.74162632727274,213.7295272441949,HAD
7,129.6809412695128,144.90509063739475,COL
8,218.08373548052623,252.07481231698895,COL
9,246.84937323515132,246.76959907596188,HAD
10,225.06904991622199,187.71868038747527,HAD
11,152.54053877086685,143.4717084192744,HAD
12,157.988248736754,227.63125754639606,COL
13,269.16770667396827,195.19450720701653,HAD
14,128.11440630240074,120.48934669582287,HAD
15,155.33651147043207,219.70122402624418,COL
16,251.12483125854848,286.2120591291097,COL
17,305.5828631837502,315.42151409225687,COL
18,332.8754378352941,323.537526984127,HAD
19,333.17362579983933,316.2102821708818,HAD
20,323.26907407407407,304.6793349963278,HAD
21,183.3493266996239,115.94575748633598,HAD
22,138.380355766586,208.33807974042466,COL
23,188.4135107640811,189.1246919866386,COL
24,242.9423995864935,268.73381802666665,COL
