Minisector,LEC,ALB,Fastest
0,233.03800858478797,231.40320209212675,LEC
1,279.63896845206347,282.40658456903697,ALB
2,294.74292553713383,296.9020238751813,ALB
3,301.1020348837876,302.0752893925926,ALB
4,264.6879172388283,261.05177059787496,LEC
5,167.4081562528377,166.11199036201637,LEC
6,258.8790068383286,261.870999844112,ALB
7,277.3514423794872,278.4707542299404,ALB
8,206.01832983731958,211.97829069232512,ALB
9,221.75839862763257,219.08062579015478,LEC
10,175.47305774143572,184.9995179744931,ALB
11,226.38839464696525,224.65393720816192,LEC
12,198.75359721104792,206.0888065015873,ALB
13,206.84861872941588,213.70557782026626,ALB
14,218.46422655127142,221.86544816105112,ALB
15,178.01858182007493,181.24978028249788,ALB
16,244.89939141579694,245.15908951309513,ALB
17,282.5420001462857,286.6693678124542,ALB
18,297.64802382240373,297.24412767041036,LEC
19,294.98416661333334,283.4285268512821,LEC
20,128.77986317819267,132.10435785322892,ALB
21,156.33055344459925,166.07355071716967,ALB
22,148.51735689907542,143.32701638529008,LEC
23,200.90336697904763,209.3300505662745,ALB
24,147.9740364703923,144.36256522278495,LEC
25,,179.79444195555553,ALB
