Minisector,VER,TSU,Fastest
0,242.67975599377584,242.781159910559,TSU
1,275.53419822282694,275.15085440969466,VER
2,178.34496132763513,182.9304725157248,TSU
3,152.03076328489794,152.22201796695202,TSU
4,253.38389369309425,255.26864764062537,TSU
5,266.0746402092929,272.2559846254545,TSU
6,232.54493547368622,236.8581376586166,TSU
7,205.70967232373204,206.3075609900408,TSU
8,157.30343021946928,165.35834778571427,TSU
9,220.23253569100925,215.09640842221015,VER
10,266.1027089215133,269.33492656012646,TSU
11,121.39209027349618,129.5697610196971,TSU
12,197.64080515514777,207.70803672222223,TSU
13,265.6917857142857,268.0663404502971,TSU
14,288.77788590453457,289.52613993425047,TSU
15,295.89468252352094,299.1018884237873,TSU
16,240.4190502784774,243.58162994212603,TSU
17,130.26839334865673,137.00819961971206,TSU
18,134.74819794070854,136.7842341080681,TSU
19,122.27950635432086,126.6806515952237,TSU
20,219.1956714907234,225.39758392685715,TSU
21,254.7610052910053,258.8793757135161,TSU
22,236.21391168537525,237.1070687296865,TSU
23,213.12551020408162,216.5545076201092,TSU
24,135.38008199766617,136.73315266816945,TSU
