Minisector,RUS,NOR,Fastest
0,257.1362515843518,249.316409389914,RUS
1,125.64276338007923,117.45444652007038,RUS
2,258.78707854008906,256.90037259080714,RUS
3,304.5576116391096,298.2548972516256,RUS
4,308.0780403492675,297.451894932957,RUS
5,317.16328570148573,302.2036143962029,RUS
6,324.42058970812894,307.25953143052504,RUS
7,326.03683486188265,305.9473644766434,RUS
8,189.2880746099453,189.3165916362019,NOR
9,190.82044574648666,192.5688556395723,NOR
10,183.7097684632344,174.90871533429174,RUS
11,169.6439719279949,168.65187975432968,RUS
12,250.88983319372002,248.9934132303525,RUS
13,260.93891609790467,272.6600361055448,NOR
14,271.4025777561097,278.26533041823126,NOR
15,270.2312002760427,256.0202091684725,RUS
16,175.87634831209664,183.47307261284533,NOR
17,182.53796784303523,180.31844646632956,RUS
18,225.41690519503697,234.48324867338667,NOR
19,279.72135139121417,281.6780890573144,NOR
20,305.41640773079365,302.3381629952,RUS
21,314.4179887144577,309.70198497037035,RUS
22,313.7851147493878,309.12799380881836,RUS
23,251.55444050938377,206.4110758276728,RUS
24,110.11973550293128,107.36751584947012,RUS
25,223.42500195555556,,RUS
