Minisector,PER,RIC,Fastest
0,236.89905782365594,237.56488069596648,RIC
1,284.91580100351416,283.913571072,PER
2,300.6941551639398,297.95394273524744,PER
3,307.35436057520894,305.61818841043475,PER
4,262.13631315538254,255.28802293086687,PER
5,169.01668160464112,171.03420627772357,RIC
6,263.8902772938272,264.27771146808533,RIC
7,283.1298076893773,283.7213093973333,RIC
8,208.39908274938776,212.2112084985034,RIC
9,221.29166213022455,225.87968642380952,RIC
10,179.29518095222025,179.08061042666665,PER
11,227.47281690956606,228.32652129160886,RIC
12,202.60581316184604,200.1538198814815,PER
13,207.46750093714286,208.478617551393,RIC
14,223.13719246901934,221.03451814761905,PER
15,175.1579848063426,179.16738393210665,RIC
16,248.88563720706262,249.22333149328853,RIC
17,289.1306873779582,288.2941837444444,PER
18,302.32191052628684,301.59227997975904,PER
19,284.81437083076923,292.0852356034973,RIC
20,127.53679131458013,130.31839360761307,RIC
21,157.5310743629729,150.92760897667634,PER
22,154.96218169075686,156.4808233733448,RIC
23,197.78133739590342,201.87379234738702,RIC
24,148.20043631169392,150.10651689791166,RIC
25,191.53333759999998,190.2,PER
