Minisector,VER,RUS,Fastest
0,290.5731894698465,292.0526970271445,RUS
1,299.1656731405128,301.25984269155555,RUS
2,285.14835733,278.7462572670162,VER
3,120.03367067642982,106.21044486277746,VER
4,226.07762385771255,228.62033505756648,RUS
5,271.93627951424804,271.3281043044015,VER
6,215.92979171366665,218.91942099634102,RUS
7,168.08735284338624,169.13900632447354,RUS
8,224.28568172106964,210.10563355845807,VER
9,228.75443168571428,213.11521853627966,VER
10,122.03639544550305,116.36511851504758,VER
11,232.49295125157823,229.86761288880578,VER
12,119.7096837652386,115.12930637153991,VER
13,225.5112848802791,225.0617390415794,VER
14,272.90121042957395,274.35166718277435,RUS
15,231.8699941227385,223.16756342626448,VER
16,203.21207259521813,196.0769661995477,VER
17,253.3880427938624,251.51767383619045,VER
18,210.29102837223974,197.32100861230927,VER
19,186.54693192787303,188.30472887044448,RUS
20,264.43213869619063,265.80260694549315,RUS
21,289.46476785124713,290.34152894569974,RUS
22,170.9167953243501,161.53585379897675,VER
23,212.87595208492553,218.20009750494376,RUS
24,271.00882607512466,272.7275315543837,RUS
