Minisector,ALB,MAG,Fastest
0,276.18247177777187,273.0316488378117,ALB
1,293.1433332584734,289.40040502222223,ALB
2,292.7834338285714,289.78640418646614,ALB
3,127.12613936225203,126.95797861191582,ALB
4,210.95503602051284,211.32252643516483,MAG
5,256.7246216242424,246.63484542474836,ALB
6,147.81626967637158,140.78706117192982,ALB
7,219.7635408,220.52552180536236,MAG
8,266.1055554031746,265.59191432380953,ALB
9,282.62543862857143,278.1244606894667,ALB
10,244.59380999619046,230.9155753079365,ALB
11,179.6420043784127,169.95151044151237,ALB
12,207.34873087383443,212.6533811017143,MAG
13,144.86030739649124,136.76089334983928,ALB
14,185.50104923180095,186.7991586732348,MAG
15,173.42693604236487,168.94548207561058,ALB
16,226.82430647890575,235.73551602601665,MAG
17,238.49231395776397,229.54218483769844,ALB
18,245.93613618721517,250.1333764849029,MAG
19,233.52066151111111,174.85997060735008,ALB
20,152.29081397767243,172.52717813586088,MAG
21,135.76382371837494,123.64283022397241,ALB
22,182.98762036457967,171.32974423549783,ALB
23,156.8635844455756,175.74292953458772,MAG
24,237.24289340874776,247.82472156444445,MAG
