Minisector,PIA,MAG,Fastest
0,324.5711478774532,323.7358523999204,PIA
1,335.35640428072816,332.6300556757143,PIA
2,335.7236457617778,332.161314592254,PIA
3,196.61253144724046,187.9529145312875,PIA
4,140.18553836655272,132.14137981303614,PIA
5,267.9003567289559,267.765180253898,PIA
6,302.9843779924007,302.44648018979603,PIA
7,315.96630691723965,317.4746328507936,MAG
8,263.48992102352094,287.82524349729465,MAG
9,144.5871651207869,139.5783799762465,PIA
10,224.89002219577964,221.6154911925798,PIA
11,234.6798029399756,221.32556960251264,PIA
12,208.54984814861496,198.32867132247824,PIA
13,272.28121416932277,266.44414343953173,PIA
14,309.01127801139904,304.72210324745197,PIA
15,321.03818993246756,321.59496511111115,MAG
16,274.38449429223107,287.6355945788958,MAG
17,221.59260225837684,207.94353059235397,PIA
18,282.912743236223,272.2362586925869,PIA
19,312.6957709157287,306.30455871436766,PIA
20,325.21008204035275,322.8195220428526,PIA
21,300.716084924041,314.86568921683113,MAG
22,214.44373477136713,210.40521969459266,PIA
23,269.7366264180316,264.6607372568381,PIA
24,305.0069215588007,303.3353010974871,PIA
25,318.6625008,318.2486112,PIA
