Minisector,HAM,LEC,Fastest
0,288.00955376,287.14641162220744,HAM
1,300.50671318518516,299.06067442756085,HAM
2,176.38266084923478,170.29278265238096,HAM
3,223.92565310068315,216.3780228119779,HAM
4,270.3555185338032,266.46944422312924,HAM
5,288.1826391111111,286.0276316631579,HAM
6,292.1257919921212,292.8729364421,LEC
7,181.99013039124665,192.8547425360544,LEC
8,128.60628170563575,119.23103204092345,HAM
9,248.57776562433403,244.5119613315193,HAM
10,279.8774663534742,278.00921202821104,HAM
11,290.11493260405825,291.671990637037,LEC
12,156.02174545933775,153.28548160540942,HAM
13,192.40232423207522,185.9105863782313,HAM
14,258.7009354376417,254.528596298064,HAM
15,218.68130294423298,207.70437724889248,HAM
16,225.61544612877364,214.08423074141243,HAM
17,227.8454235410212,220.8106137490417,HAM
18,247.12215806060604,241.53211575411254,HAM
19,274.7320912159145,272.1822286016052,HAM
20,289.8489218915421,289.08128718005315,HAM
21,271.0741253614035,267.65760655535365,HAM
22,235.84687771488368,228.3211470291906,HAM
23,204.94582685266727,198.5169219809524,HAM
24,261.3940652000411,259.8196901774454,HAM
25,278.6333333333333,278.16666879999997,HAM
