Minisector,ANT,HAM,Fastest
0,305.5904745354184,307.35262731178716,HAM
1,241.12829160655707,232.51718633284847,ANT
2,131.70189219758845,127.84399820935839,ANT
3,238.6306846413152,233.31506922771757,ANT
4,195.74140947298542,191.88375100498433,ANT
5,247.84841368611924,247.95444268293738,HAM
6,227.49130032500446,231.73265379450626,HAM
7,257.4425738336718,258.91996362533956,HAM
8,292.3795601611977,293.1837421172684,HAM
9,209.74958164708664,197.89293121894403,ANT
10,202.76515224675882,209.44126222832958,HAM
11,271.7677532568116,275.0590258739981,HAM
12,212.25305158677924,206.84350708921605,ANT
13,249.44690186657866,249.33156630000934,ANT
14,292.56572116259434,293.50477596908024,HAM
15,308.5303319426709,310.94184671072463,HAM
16,307.00317738666666,311.59177706720135,HAM
17,206.24346433206972,209.622552963629,HAM
18,264.95392440721974,264.76476635473193,ANT
19,296.40943802265605,297.12024286989083,HAM
20,311.4429232555783,313.75429959111113,HAM
21,311.5597669422526,313.485309063924,HAM
22,149.74267682733935,141.80347748133678,ANT
23,237.108034993288,230.9326333931361,ANT
24,286.4183060153286,289.81398853194804,HAM
