Minisector,TSU,MAG,Fastest
0,298.5376438151378,314.5837963407407,MAG
1,211.51208659944376,201.51222668031383,TSU
2,229.62388776644883,226.03264640266832,TSU
3,275.14723690314344,282.5409007554411,MAG
4,234.87677264218607,254.00040584415584,MAG
5,127.77557610813403,123.96935417714572,TSU
6,214.21533125592103,209.8768878607365,TSU
7,261.8105256707438,263.26937499999997,MAG
8,242.16085217454545,250.4709390109091,MAG
9,239.9108595958492,234.43817319127095,TSU
10,276.3180505977276,278.82223848760447,MAG
11,294.62151033821647,300.96803513904763,MAG
12,304.14115233444653,318.69407738095236,MAG
13,307.6306818181818,329.5025306948023,MAG
14,308.44686294441556,335.025481024127,MAG
15,255.64269833163414,259.798123500473,MAG
16,242.00540993219047,238.53649079115948,TSU
17,280.77768264610734,283.41107142857146,MAG
18,293.86696526135046,302.09118062789696,MAG
19,167.19385673809222,156.35097454282587,TSU
20,209.7424252805644,205.4357359506774,TSU
21,179.2493972287416,176.60376551714108,TSU
22,144.5038036833417,134.8037063743306,TSU
23,243.4991611819199,241.91324790949406,TSU
24,283.65697573382806,283.66480200368994,MAG
25,295.0181818181818,295.5312496,MAG
