Minisector,BOT,TSU,Fastest
0,286.57396796350207,286.6149453078261,TSU
1,297.5678578387825,296.45172358325624,BOT
2,301.8479765307815,301.7656359934503,BOT
3,297.4889376829348,302.59426288504363,TSU
4,185.95233262385486,186.40519988834055,TSU
5,211.44972942311426,213.07311622913582,TSU
6,261.8965232951227,263.1848905671163,TSU
7,256.33726906896396,264.6404322331891,TSU
8,181.498935364586,186.0225839387496,TSU
9,146.22633978334886,156.003700049285,TSU
10,190.95263999849502,177.7245412905681,BOT
11,254.70444573835314,254.86792259972609,TSU
12,237.5318345449928,245.90360317351792,TSU
13,223.42573750872666,229.00776980711112,TSU
14,264.5397956631111,262.73251669948297,BOT
15,167.41271048807448,173.11340858,TSU
16,218.08012402402932,212.2864765898984,BOT
17,233.4981756022857,244.7119973132275,TSU
18,139.91601379097003,134.80043112496935,BOT
19,236.58102277211873,232.16578318068008,BOT
20,272.191407056,274.3569780673125,TSU
21,235.48627422849881,260.0440748666667,TSU
22,139.90755522347283,137.45814807094888,BOT
23,207.81040879253422,202.548561371009,BOT
24,265.3894998449373,263.6802050174892,BOT
25,,280.33749866666665,TSU
