Minisector,SAI,VER,Fastest
0,248.20513572392156,249.38007697083134,VER
1,122.87504881596284,128.74844669879087,VER
2,205.78836035324673,195.51848224432499,SAI
3,246.79142436569416,244.12331141406452,SAI
4,257.75948557206345,257.582701357037,SAI
5,178.8211110271937,174.02104261659866,SAI
6,143.30059982447972,144.3967283948736,VER
7,180.56075520241814,177.6899999841626,SAI
8,99.96410281623946,102.26832098306306,VER
9,73.70771669431117,75.68920304892174,VER
10,93.74848820142056,95.36582620843782,VER
11,188.36438835428572,181.03981026872438,SAI
12,244.51975857884335,240.03141306711228,SAI
13,267.2746530466936,256.99053308329,SAI
14,273.5605745964945,262.85532582548484,SAI
15,104.59177569283625,103.65009586431286,SAI
16,143.91039394438096,165.9568484365088,VER
17,170.07947654451576,186.39963807953256,VER
18,196.10075270775025,193.6271889671367,SAI
19,206.6817204688889,210.67805614371613,VER
20,133.74839598142526,131.9069497193651,SAI
21,101.49531482877266,114.6412584705623,VER
22,100.63146046945847,93.68066060620589,SAI
23,201.0896152735635,197.12592307957436,SAI
24,251.70163443543936,246.41125024969696,SAI
25,263.74999893333336,262.7090909090909,SAI
