Minisector,BOT,HAM,Fastest
0,285.03783059504764,290.788278071973,HAM
1,164.51712161143539,162.9344700237296,BOT
2,155.0219409027613,154.08429676367047,BOT
3,220.83378230204082,222.96781612873565,HAM
4,280.2687504484848,280.9414592214828,HAM
5,284.01840146666666,282.7111170397321,BOT
6,149.16235345053673,145.79124208151924,BOT
7,144.82990567757577,147.44221519902277,HAM
8,145.2354829326257,151.75236661967483,HAM
9,192.76228353960636,183.14513534258504,BOT
10,130.7313900345967,132.50817206289204,HAM
11,122.9382293425685,125.6802131375847,HAM
12,174.28531037877653,165.35335147067667,BOT
13,268.0104169333333,263.9930356745958,BOT
14,285.43985658863744,284.38152166956525,BOT
15,155.9459785738849,160.23917277210325,HAM
16,203.15727536625624,219.14761865820105,HAM
17,183.33177617447566,172.732891286038,BOT
18,273.0990336976566,269.6609848727273,BOT
19,293.2699529293802,294.2469695792208,HAM
20,308.00122190828546,307.31469298245617,BOT
21,316.7425739468271,314.10145818666666,BOT
22,317.5761056103422,316.8611309638095,BOT
23,322.77893511111114,325.31750005333333,HAM
24,324.13172607238096,329.0121672564778,HAM
25,320.0,324.79305564444445,HAM
