Minisector,BOT,LEC,Fastest
0,294.47120314687675,295.2349758139858,LEC
1,206.40971223533862,202.10764085795222,BOT
2,233.28909115347557,228.77390767266456,BOT
3,275.60173483689704,275.62515977741805,LEC
4,234.45084369038136,244.88486721273316,LEC
5,126.99681048262404,125.356807107367,BOT
6,217.0109480105721,206.3778439250858,BOT
7,264.71896644401414,258.396921409573,BOT
8,216.44706283366594,212.30986324839466,BOT
9,208.96900222168662,207.30791143100637,BOT
10,266.14218494960716,267.98456512448007,LEC
11,210.48639129273138,219.49336265630205,LEC
12,180.20842886928725,170.5726613574282,BOT
13,263.8660922284017,261.389387031551,BOT
14,284.2664471578948,281.4165457955268,BOT
15,266.6450798252176,254.9897580163798,BOT
16,245.38603992032998,238.02341969910051,BOT
17,276.1851707407142,270.57898403535967,BOT
18,289.4828792523506,284.4682863940813,BOT
19,182.14878033928554,179.44017343619214,BOT
20,217.85524958708558,211.85910105382544,BOT
21,169.89470264166687,191.67286275241818,LEC
22,147.36639134924354,134.46101783636516,BOT
23,243.55691807681993,235.00776775208922,BOT
24,281.9280040720355,281.298412900368,BOT
25,290.83084508046807,290.81666666666666,BOT
