Minisector,HAM,GRO,Fastest
0,270.0809546353038,262.3356189396551,HAM
1,131.03203516716022,133.12995466580958,GRO
2,269.0602663238095,263.73997127599677,HAM
3,315.822451155923,303.349626080829,HAM
4,315.87569453968257,301.0903808914286,HAM
5,327.7045467195022,307.7399306666667,HAM
6,332.8634385312803,313.9141369904762,HAM
7,331.60549246060606,316.69635413333333,HAM
8,194.86635674666667,211.69930368253966,GRO
9,199.4864913176824,198.04699211943372,HAM
10,184.1312258788367,191.47994177566596,GRO
11,164.32417767169267,157.39818244054578,HAM
12,256.1739233376344,245.69132994031744,HAM
13,282.9785016469542,283.0814052448119,GRO
14,281.4232708645807,281.4505391041593,GRO
15,275.17099728868465,286.75180847472524,GRO
16,189.47219182026862,186.0785945466948,HAM
17,195.82567469075897,195.27404140430122,HAM
18,243.1956937146861,232.79329794162825,HAM
19,292.4099228092728,283.78153266831276,HAM
20,314.01719165528215,306.5314002616271,HAM
21,321.6503106385093,313.6833021174427,HAM
22,320.96053303944495,314.25460890358534,HAM
23,259.1180169142857,280.9231027164835,GRO
24,115.60659998791603,111.38229432099912,HAM
25,231.7,225.86666737777776,HAM
