Minisector,GAS,ALO,Fastest
0,307.237037037037,308.0060185481482,ALO
1,237.9873196057971,228.38077235996096,GAS
2,135.86198038563356,130.66613037392537,GAS
3,217.26046598095238,212.47858216589262,GAS
4,264.9892449515673,258.7018711292517,GAS
5,289.29851183068786,287.5036193866644,GAS
6,304.67962962962963,303.5301934094013,GAS
7,284.0338678515883,274.3754373614035,GAS
8,171.08694432,170.91785912089355,GAS
9,236.76391304347825,238.3635356753623,ALO
10,274.08416666666665,271.8666666666667,GAS
11,261.4133333333333,258.23888569774,GAS
12,197.78358024691357,200.56095656296296,ALO
13,131.14812748339142,121.0191611431309,GAS
14,121.66708773606861,121.43781438897453,GAS
15,167.97322443351254,152.81307872592595,GAS
16,122.80285166777408,126.60460866590856,ALO
17,223.35521116654584,221.57066666666665,GAS
18,185.5380952013136,172.44465057634432,GAS
19,155.3147727498707,168.28969996807496,ALO
20,246.12301587301585,245.6250251374667,GAS
21,276.57826600039743,273.6379073764411,GAS
22,293.45462957037034,294.94090604021164,ALO
23,303.17671957671956,314.07985533830015,ALO
24,308.43986560163273,326.3035014901961,ALO
25,311.22594189765573,,GAS
