Minisector,RUS,OCO,Fastest
0,290.0980101213033,289.71918861754386,RUS
1,298.598423032381,297.0332808257143,RUS
2,162.68817001018962,160.54552196185148,RUS
3,221.43081765003177,220.70227197071895,RUS
4,273.3467633351111,274.29378303528387,OCO
5,293.6497708820915,291.8034076952381,RUS
6,303.93761554225955,297.85794637714287,RUS
7,176.11480982058336,161.62914258778713,RUS
8,132.41671904963778,132.31572230864953,RUS
9,251.42815429818182,248.2348929371429,RUS
10,285.41531201600003,284.96260015733833,RUS
11,293.3050320097959,294.1620368592593,OCO
12,137.61528524796964,132.1125431161554,RUS
13,196.39473028955106,196.14035909756777,RUS
14,257.4719637622857,257.9798359904628,OCO
15,194.32061890302714,192.7407371437129,RUS
16,219.16386588433207,214.00559523809522,RUS
17,208.602808745679,204.17198155198733,RUS
18,241.2745296013877,242.4115664253968,OCO
19,273.72134330039216,276.57488970888113,OCO
20,291.341975826704,291.87394119909163,OCO
21,260.89736296755905,245.97835588470124,RUS
22,212.52603309638724,214.4120904449121,OCO
23,195.59685884639805,193.56700447687442,RUS
24,263.36015766603174,265.00152914911786,OCO
