Minisector,VER,BOT,Fastest
0,292.28835946711985,315.83664023703705,BOT
1,219.3012492864044,242.90601878437383,BOT
2,145.9853680328202,153.22445160550447,BOT
3,222.96511197480046,228.0376110131757,BOT
4,157.66980936290824,159.98521216686208,BOT
5,177.11941665563842,176.0319984305093,VER
6,248.0849829418819,250.67961621469368,BOT
7,272.4286350408847,273.6975002666667,BOT
8,280.25066137566137,277.4549392655999,VER
9,260.3906762700188,258.93052941646266,VER
10,245.65877906369727,243.41131022222223,VER
11,247.45036229565218,241.0607591442118,VER
12,213.24865608554242,212.58086260380705,VER
13,141.21971191437785,151.05252607884628,BOT
14,155.45404691180045,157.33781819522656,BOT
15,183.92044320628048,193.02278358601686,BOT
16,255.58730209523807,260.93871084632826,BOT
17,242.95268648928527,241.37021914820446,VER
18,117.51519616547901,118.71449540187413,BOT
19,193.80450820906393,201.24861021234568,BOT
20,198.33697534433904,182.20904709411386,VER
21,233.37246376811595,205.9283656609452,VER
22,263.0669125750036,250.98593880528833,VER
23,278.84916695963,273.9677027405511,VER
24,288.0244708994709,288.24395353182956,BOT
25,291.0,,VER
