Minisector,ANT,HAD,Fastest
0,299.143806699581,295.6410336769144,ANT
1,148.27124537975604,149.2993555798107,HAD
2,228.75538204111615,222.7235416921919,ANT
3,276.90279498512075,282.3652539579677,HAD
4,314.19315264366753,311.32239555555554,ANT
5,311.59545664758605,301.40944999382083,ANT
6,152.4855252171709,151.829721323881,ANT
7,258.5632730552381,245.56136948836095,ANT
8,121.09343610604827,115.5882191298524,ANT
9,160.83529882848686,169.23994197653914,HAD
10,279.4953602441742,270.33800731333366,ANT
11,301.57970643483,301.04614347962104,ANT
12,226.5909419806349,218.54428300138076,ANT
13,168.58596372931052,163.56385413886244,ANT
14,277.0345455619048,278.2056181852445,HAD
15,313.82923883204626,312.2852645224127,ANT
16,327.5201386821256,326.6932806994789,ANT
17,336.4314541385621,333.939236,ANT
18,338.9408729904762,336.61175594285714,ANT
19,340.11747304450216,334.66876000834355,ANT
20,194.96255759856217,206.78478567954613,HAD
21,176.43580489537817,163.0554389441988,ANT
22,280.6817143970696,276.93540386252135,ANT
23,312.7387263216213,311.89336465003777,ANT
24,327.0092900281129,319.56067690939426,ANT
25,,316.0,HAD
