Minisector,PIA,RUS,Fastest
0,265.28141422603176,261.3494180942203,PIA
1,128.51328080352368,134.22331234128586,RUS
2,269.21036033352954,268.5909423242713,PIA
3,309.7587873870222,309.83134021396825,RUS
4,309.9842158692634,310.6730780369358,RUS
5,318.1068576740741,321.3169882132996,RUS
6,321.7318804875953,326.42553007721847,RUS
7,323.79041674666666,328.5512137708212,RUS
8,207.39833550213098,204.14865607869336,PIA
9,205.21819333433973,197.39084656568437,PIA
10,183.72293504038095,179.42479366327046,PIA
11,177.65257183202618,170.07451168165525,PIA
12,260.90049782652017,257.3470779969229,PIA
13,285.4954483075057,279.20611204530945,PIA
14,289.52743444996634,286.0617989758949,PIA
15,280.2491628232417,282.92038779094315,RUS
16,174.11882506135643,169.15766934060946,PIA
17,203.09663681519945,195.81730613984413,PIA
18,252.2693155661612,248.79376446400002,PIA
19,294.2863159398429,291.4308492529067,PIA
20,312.79918243959634,312.8599716707399,RUS
21,317.3132608556522,319.7235117661453,RUS
22,315.0841150770794,318.04996997147697,RUS
23,257.4264329829481,260.0660245902228,RUS
24,120.26167015727673,116.3531206462827,PIA
