Minisector,NOR,RUS,Fastest
0,284.7216871977143,287.6989599613518,RUS
1,294.0599069361879,299.2642946285443,RUS
2,299.41651508175045,303.384603290236,RUS
3,299.65743062320985,303.9527479525926,RUS
4,196.57055603309968,189.05411425734786,NOR
5,213.2310484107592,215.66896057791035,RUS
6,263.7776918780062,264.8325249942857,RUS
7,260.3186504486957,256.21837500337386,NOR
8,192.22884179911355,180.66879398170488,NOR
9,144.83580779662344,150.44807664354337,RUS
10,181.97159587950617,184.70488496247003,RUS
11,255.9781792128436,257.74655094275323,RUS
12,240.76567275336237,247.67777423771855,RUS
13,224.8630081325655,225.6845149348148,RUS
14,265.35291859058253,266.04995335434523,RUS
15,170.68852110014765,164.56142657596962,NOR
16,221.73971159030444,210.66558804020806,NOR
17,232.86099768135793,230.25674723511386,NOR
18,132.57552553720092,127.43461880912514,NOR
19,237.45766763213712,237.92618665928853,RUS
20,272.71182626291653,274.8409968595042,RUS
21,243.4847493193506,243.05253613262786,NOR
22,134.94336897321207,137.3187676892073,RUS
23,208.67974798304326,206.47733156017281,NOR
24,267.68330044190475,267.439128277655,NOR
