Minisector,ANT,HAM,Fastest
0,306.09174600380953,312.7163030865485,HAM
1,312.8286011352381,326.6830529777998,HAM
2,298.1809896612139,310.4064212376181,HAM
3,179.6723162623164,176.49950369565786,ANT
4,226.89687787260695,212.39100460159236,ANT
5,198.812158021508,196.90624633233784,ANT
6,182.2029410157279,178.29045204014926,ANT
7,207.96349673860112,202.86970622819248,ANT
8,256.6155050989899,251.9964469242548,ANT
9,257.495726143569,250.54155299845803,ANT
10,176.67609989250582,169.87901540474166,ANT
11,234.0725669608602,230.79917598326938,ANT
12,127.6445121273051,126.79278790132646,ANT
13,237.99091774157571,234.0799874744475,ANT
14,279.42916684495236,276.38283449069576,ANT
15,275.2711866968116,273.4258513346032,ANT
16,209.24040290921408,207.7790591202381,ANT
17,190.5570478610364,195.30462255238095,HAM
18,288.13995046545455,288.63776921300274,HAM
19,317.2170246899577,326.1269000596825,HAM
20,316.3078732293333,328.47830682328043,HAM
21,291.5804927751045,303.35028107885717,HAM
22,257.84383255948853,263.69466511899486,HAM
23,124.92041083912055,125.53641263383665,HAM
24,251.71800647064373,242.0128151936,ANT
25,,283.1071433142857,HAM
