Minisector,RUS,ALO,Fastest
0,254.1490893135129,249.58567172402118,RUS
1,123.85994280808956,126.04566036892935,ALO
2,259.98537486961044,258.15992659513756,RUS
3,300.8003448275862,300.2549385052352,RUS
4,298.5258264442182,303.901749607218,ALO
5,307.56386904761905,311.1094878851282,ALO
6,310.98718325333334,314.1936821387198,ALO
7,305.8976355959629,308.1635119949206,ALO
8,187.35764065220852,192.28034333045593,ALO
9,190.02957506317208,177.93535192049276,RUS
10,172.54871362372307,180.58493405307257,ALO
11,180.43036378662848,161.9351731216174,RUS
12,255.15516547806445,243.6580187031746,RUS
13,270.0782560262128,267.510112513536,RUS
14,279.2433405008562,274.10244704169315,RUS
15,260.7737821453324,262.4139447964078,ALO
16,171.7878540622297,166.23208529269604,RUS
17,182.7820624108588,170.70849830606252,RUS
18,236.4075082452381,225.8223884769128,RUS
19,279.3508426992974,278.38786928599365,RUS
20,298.57215906943503,299.5171700923077,ALO
21,304.15404759682536,305.30597076828406,ALO
22,302.20272039478925,301.11452663566575,RUS
23,235.3004336195955,249.8954747498059,ALO
24,109.91285626420984,106.77891327770027,RUS
25,224.2250048,220.55279485328492,RUS
