Minisector,PER,STR,Fastest
0,297.9229166222222,304.95978258550724,STR
1,273.36390631714517,276.819532359599,STR
2,173.60312965028606,162.17036121769033,PER
3,204.79595248463238,199.18861956478278,PER
4,221.26665567544447,231.64735279686275,STR
5,265.38386176313844,268.6311442821554,STR
6,224.03244224794815,222.05443082740945,PER
7,215.24745787785506,202.16607989120592,PER
8,166.72984512454957,158.99066258991542,PER
9,177.08008950687832,176.39796036684265,PER
10,188.5304245695144,172.09724452602657,PER
11,211.82073852039235,206.4441808548198,PER
12,242.27791677167434,235.17522860647395,PER
13,171.96718999802118,167.361122955891,PER
14,245.68749842962964,249.65142459702835,STR
15,272.08866646552383,277.6980158730159,STR
16,267.5616989948718,266.182166656,PER
17,261.3399562904067,256.12201954487745,PER
18,246.21381419369493,245.59799383703702,PER
19,248.97544685714288,242.95550496000652,PER
20,261.1768759392744,260.58799999999997,PER
21,193.71278608243665,233.3678966146322,STR
22,225.8269415780938,228.16444390112852,STR
23,273.6608325973333,267.00931679760174,PER
24,290.0659487130247,292.59120082815735,STR
25,294.83749973333335,299.8880953904762,STR
