Minisector,GAS,OCO,Fastest
0,306.29041849007626,304.9174046997865,GAS
1,313.3722544857143,310.555923187671,GAS
2,305.44756932664995,295.09052153489176,GAS
3,183.15779507926555,169.3357811165553,GAS
4,213.73297296534443,210.75450210319016,GAS
5,194.2750220080022,190.0715217826287,GAS
6,177.92708535140807,172.67603106689276,GAS
7,206.17589535183427,201.8541812071768,GAS
8,253.12258874305252,252.9265513628048,GAS
9,248.70173845622529,246.99453466586374,GAS
10,171.4006473946903,169.64497291618605,GAS
11,231.68870977738766,231.48649576981856,GAS
12,122.77509466598777,120.87861171541206,GAS
13,236.83218761488936,240.84030607085714,OCO
14,275.63446122221137,278.59789624778114,OCO
15,273.71936872242424,275.0052682971429,OCO
16,203.99862918439106,194.31931476201362,GAS
17,198.68281831909297,193.96234245756244,GAS
18,287.996551042384,292.6547169309091,OCO
19,317.4984032859504,327.8170645341596,OCO
20,317.24184777563573,333.86478489955556,OCO
21,296.9725861954579,307.16949724813855,OCO
22,255.38104302886447,258.1524614768369,OCO
23,124.12662463311571,122.77274236536225,GAS
24,248.12072816410256,251.77049684948003,OCO
25,291.34000128,,GAS
