Minisector,RUS,GAS,Fastest
0,312.8318408972542,327.37472590637805,GAS
1,241.8961835017489,246.64563212010802,GAS
2,133.19505103866814,130.49941424859747,RUS
3,218.0485471855639,216.7134420593027,RUS
4,266.18781357360854,263.1154270190476,RUS
5,291.56322316900366,288.48269469595766,RUS
6,307.6744067213507,298.8275437644784,RUS
7,282.6954605180953,283.03158423932774,GAS
8,170.1820670012766,175.46205450910475,GAS
9,237.42896666442914,240.67970674750103,GAS
10,273.5345652111246,269.94561301124185,RUS
11,260.8372445446356,257.9809349029129,RUS
12,206.167099438376,206.06806398674945,RUS
13,122.78762251640212,116.83200874325026,RUS
14,123.35452731001153,120.45455293737719,RUS
15,166.08127421159472,165.90672138115679,RUS
16,123.61017166078958,123.88870045142254,GAS
17,226.8150373491707,224.5575465683117,RUS
18,183.6371940519865,184.60596136657003,GAS
19,161.96234646390363,160.7806113777613,RUS
20,242.99955481931042,243.83301392121302,GAS
21,274.6516893192982,270.3409936028571,RUS
22,292.9543079857143,288.904430085614,RUS
23,303.4588629490554,299.74440189160214,RUS
24,309.25541686704764,305.88962971259264,RUS
25,311.0,,RUS
