Minisector,GAS,ALB,Fastest
0,278.081697298707,278.24945950281824,ALB
1,292.41363566198123,299.70665926557,ALB
2,285.0801214403447,298.12583434716225,ALB
3,164.44510261308497,187.53187646321743,ALB
4,119.51783438482846,118.43029012463684,GAS
5,238.12655779138098,236.12957867913968,GAS
6,284.63980321923725,282.1961988494964,GAS
7,290.6129188426025,299.23242383481,ALB
8,171.4402907851531,174.85757542427118,ALB
9,138.88010701021588,142.21058292932105,ALB
10,249.9037088223176,252.0818043162926,ALB
11,287.948828614282,292.13693166572597,ALB
12,301.63726729162005,304.06446394122446,ALB
13,279.93695119703705,278.095506805857,GAS
14,304.120007130886,304.40001474075007,ALB
15,303.4093577108822,302.9118658025875,GAS
16,246.02602280777145,242.85927643503862,GAS
17,221.29766491411644,214.8942608198451,GAS
18,287.0431097450607,278.4002966400167,GAS
19,318.97985252152876,306.86201398799875,GAS
20,323.5577657687075,315.010107494321,GAS
21,217.6036094737415,232.46492512325653,ALB
22,257.2588219897436,258.8699289303359,ALB
23,137.83458937898465,136.84849194626347,GAS
24,214.28133591380953,215.65866859780755,ALB
