Minisector,RUS,PER,Fastest
0,275.80130517238564,274.4275956158454,RUS
1,299.7228269073302,297.92358502871696,RUS
2,298.02484026177444,297.51162034962965,RUS
3,174.47677096527585,167.17716802716882,RUS
4,117.24324141092235,119.58217140838211,PER
5,232.862470593204,237.1960865153703,PER
6,291.3266953875441,283.7166297035294,RUS
7,310.4321728200867,297.8781890031746,RUS
8,173.06411174276968,181.87582569485608,PER
9,136.12902455238952,137.30247486734996,PER
10,247.71966454970018,248.67101021374572,PER
11,289.5451546331653,286.96183963336216,RUS
12,303.50462308622224,298.0529337795918,RUS
13,281.7539099540072,282.61240624896084,PER
14,298.4671053152882,292.47734069684003,RUS
15,299.00580799353537,294.90573893818186,RUS
16,249.80988220181717,253.4644171264,PER
17,226.16972245772075,230.76412838959817,PER
18,281.70112498649934,276.3196181619986,RUS
19,313.30346329212125,296.1185077582669,RUS
20,320.88692719914724,295.8705230517749,RUS
21,220.07810825536944,238.55951558879613,PER
22,252.983890507475,262.59489078640314,PER
23,130.80740097106155,134.85118852610645,PER
24,204.79574384927244,215.44368526653145,PER
25,256.48125120000003,,RUS
