Minisector,ALO,ERI,Fastest
0,287.08259846274507,302.30527053202644,ERI
1,291.80963553333333,306.6511111111111,ERI
2,167.0898995967527,155.75072446808076,ALO
3,227.93782730217578,227.11824489142856,ALO
4,273.30000786859455,282.4789062666667,ERI
5,288.9325524,310.4926943702269,ERI
6,294.3374864741945,323.1803571809524,ERI
7,165.17311771954886,161.13569280000002,ALO
8,133.1270311341729,129.96419182933332,ALO
9,248.27124160802003,252.73601217502704,ERI
10,278.1979789342689,290.75703146666666,ERI
11,286.0345588705882,305.9788888888889,ERI
12,144.64556050080932,144.59800972938623,ALO
13,200.93281402711364,199.6201096347826,ALO
14,256.35416687407405,257.7638202330349,ERI
15,198.54704351229014,195.06410698697093,ALO
16,219.4392717476966,225.55412059402434,ERI
17,219.92927461245338,215.23203736283557,ALO
18,245.6970309084473,247.72615816296295,ERI
19,272.8991191037714,275.8924027223881,ERI
20,288.09880926666665,291.97492700106557,ERI
21,268.4470597647059,247.98435791435662,ALO
22,224.7489844054267,216.15368368616777,ALO
23,207.76977711515153,212.3744328242424,ERI
24,262.3454044289333,269.80435591361277,ERI
25,277.5458336,,ALO
