Minisector,HAM,ALB,Fastest
0,262.8482457263158,264.27373165119076,ALB
1,296.9365170579788,292.99505144761906,HAM
2,310.8209328,307.7710453877551,HAM
3,319.64974598165793,315.5702775466667,HAM
4,324.5854166857143,319.96805546666667,HAM
5,327.44481299591837,322.5065475809524,HAM
6,282.46176269803925,284.6671908,ALB
7,116.6571866504602,118.5776204542497,ALB
8,149.7217455311629,153.4268835435695,ALB
9,251.04890414035086,250.11319253333335,HAM
10,288.72526073333336,287.4196419176743,HAM
11,231.25467476049403,233.28208177349163,ALB
12,93.94797403424116,94.61063759461334,ALB
13,113.39396004484925,111.97311866070065,HAM
14,214.50357211428573,214.60825097835496,ALB
15,196.1744285927619,191.49478474167617,HAM
16,222.96570234198708,225.3277479351636,ALB
17,195.5388888888889,192.21815548571428,HAM
18,221.42434457142858,223.05428681738118,ALB
19,271.8230393098039,271.5123440304646,HAM
20,289.50946714626565,287.8656256,HAM
21,155.8471288275862,162.93385718562055,ALB
22,102.76497128887652,102.75032251828932,HAM
23,123.75450372612613,123.2466585654424,HAM
24,205.3366496015959,207.36721993571516,ALB
