Minisector,BOT,VER,Fastest
0,239.52661577339651,235.51600593748864,BOT
1,287.83600025600003,284.93366626133337,BOT
2,301.7123803990128,299.4076666819048,BOT
3,308.3988095873016,303.1604167111111,BOT
4,268.43966218271606,271.0021038576538,VER
5,171.27843346544108,169.59392200221484,BOT
6,265.50703519604207,264.12082825393014,BOT
7,285.3316667733333,283.029999872,BOT
8,212.89570859807733,212.78995105065945,BOT
9,226.1726106375888,222.3004831580402,BOT
10,180.21771363503896,183.07887509435565,VER
11,232.17059532456435,228.24548887445675,BOT
12,209.41034990726155,208.8970740345679,BOT
13,211.3936820449227,217.47376443648227,VER
14,228.26101786845624,223.20410844292772,BOT
15,177.53768008661484,177.9362452476111,VER
16,250.2551804866429,247.6613030592819,BOT
17,290.8311236113463,287.40788064914284,BOT
18,304.97595332628686,302.177833216,BOT
19,288.781343704486,294.2222240888889,VER
20,128.78960785317173,131.68841460952382,VER
21,155.2490141539271,162.85817933037626,VER
22,158.83325162638766,148.47892751580514,BOT
23,202.1050936152628,204.56556267537414,VER
24,149.30240330989272,146.66994631294,BOT
25,192.50000213333334,,BOT
