Minisector,GAS,ALO,Fastest
0,283.73920494545456,294.0789772329004,ALO
1,298.1104165333333,314.50679809122806,ALO
2,303.6355159873016,326.3306878306878,ALO
3,307.01666672,325.98625673573633,ALO
4,251.70075110545142,256.90329924444444,ALO
5,188.738884688262,184.51173973867654,GAS
6,255.06790967708022,253.30163014492751,GAS
7,281.04020112384,277.9218554358435,GAS
8,202.96555615999998,197.31481446906145,GAS
9,211.80782029119413,205.827220456604,GAS
10,139.23695772666392,133.43632695407152,GAS
11,244.64566990057457,242.53372763419918,GAS
12,274.61475343769223,268.9287607757576,GAS
13,219.0196739006084,213.08688046891814,GAS
14,261.969047115528,258.50833303188404,GAS
15,225.71866156190475,219.41518990385998,GAS
16,180.64390297060518,181.19351271815412,ALO
17,256.2238193808965,255.1987848888889,GAS
18,145.85409137644467,147.5128643719571,ALO
19,210.59775635730202,205.15971671279303,GAS
20,271.8547020419048,268.19428998847286,GAS
21,290.81439890942613,293.34559101964646,ALO
22,160.23545410123634,157.0053619339979,GAS
23,177.9650665581123,174.04544027315242,GAS
24,256.5094208162519,256.4417770027927,GAS
25,275.72500053333334,279.0999978666667,ALO
