Minisector,PER,RUS,Fastest
0,278.2479857747879,280.2874947724819,RUS
1,296.63614743088027,298.715842766319,RUS
2,233.47430831758288,224.26101247633557,PER
3,109.04536906913991,108.35117215713412,PER
4,127.47064641922469,126.18606158433312,PER
5,246.82786069760002,246.352872415735,PER
6,241.55825534110923,255.28889900724582,RUS
7,118.77636863966318,116.1429831854028,PER
8,247.63331550234815,239.64027532467532,PER
9,256.9170765701587,258.3969923965347,RUS
10,203.99820452689357,203.2071075714286,PER
11,138.0184475191064,139.49523224750862,RUS
12,199.77692013110212,195.92057265349592,PER
13,260.33386750720246,261.27192057809265,RUS
14,109.80053691327593,106.25604047674919,PER
15,183.24941481820787,175.91854016963973,PER
16,252.1863807728538,251.8057532125559,PER
17,286.9038509152183,289.0123951955972,RUS
18,301.3877822326251,306.55365075555557,RUS
19,319.1590067861295,321.64702751578466,RUS
20,328.80034740285714,329.49254721129165,RUS
21,162.99297351889453,174.2061519697007,RUS
22,140.85803632196001,124.1188993050754,PER
23,191.7420909709371,185.12006905328025,PER
24,237.12999436300632,228.84189911384615,PER
25,,271.23500224000003,RUS
