Minisector,RUS,RIC,Fastest
0,296.17906279028693,307.482579754946,RIC
1,252.58047518247156,232.31435062003712,RUS
2,195.02475019163364,188.95702558186474,RUS
3,263.83026713513226,261.86992020172653,RUS
4,228.2527479554281,215.16136909593632,RUS
5,108.94196644442847,106.54529611170781,RUS
6,159.72105829182055,171.90514213230827,RIC
7,254.82545799102715,253.69165606040792,RUS
8,287.57470341554136,291.69219449034017,RIC
9,303.08630760116944,316.3316251151515,RIC
10,309.56447923634164,325.3626165129149,RIC
11,217.5144495880807,200.3041800635723,RUS
12,139.02270682323186,142.7597048621554,RIC
13,251.48741874988005,253.73616532169746,RIC
14,288.11225345015873,290.87000777142856,RIC
15,300.6711268537566,302.5479373902065,RIC
16,299.5430688815264,298.9962778970826,RUS
17,259.4610977031332,239.34262030994208,RUS
18,179.17277900728928,169.12118292460184,RUS
19,177.6930536274867,165.8195547816104,RUS
20,178.52903472075408,183.36891709213603,RIC
21,247.10812192784422,232.92820000000003,RUS
22,119.74327916313996,108.3285768138739,RUS
23,192.3056288722442,207.8007936738889,RIC
24,273.4233972588959,284.0072252226599,RIC
25,287.72500096,,RUS
