Minisector,RIC,HUL,Fastest
0,261.3164120054422,268.8063183214652,HUL
1,134.02802911913852,138.10467813226762,HUL
2,194.0853781879604,189.91702436736546,RIC
3,242.61696396190476,243.57009498817987,HUL
4,254.19356485612244,261.0875853823129,HUL
5,170.7736026767033,173.8263417060802,HUL
6,143.24121535239988,144.53777704423317,HUL
7,184.94261758899006,176.44821302857142,RIC
8,101.6213110836332,103.02705505609605,HUL
9,77.40151233630291,75.57569411980866,RIC
10,97.61694411182772,91.98714571521153,RIC
11,180.87424048039966,174.6436099958929,RIC
12,241.78093097384647,244.38068126452708,HUL
13,265.33571405714287,268.7425627231097,HUL
14,276.31039059231216,279.7602578051282,HUL
15,123.45754444937809,115.57711838819469,RIC
16,136.19045034392076,137.95710418617853,HUL
17,188.82459208822056,195.4020751990622,HUL
18,195.63822846730417,195.92238152635971,HUL
19,215.04879122170126,220.69339381618326,HUL
20,136.21991470579263,135.11115114140676,RIC
21,121.20984361151805,113.21984334023537,RIC
22,92.87273681813069,93.49110473160216,HUL
23,190.37708432592592,197.5355344210645,HUL
24,244.14918304676894,249.0435394116767,HUL
25,259.38,,RIC
