Minisector,RUS,ANT,Fastest
0,272.5694943314286,270.30142777563475,RUS
1,252.32013932009687,259.10960478324375,ANT
2,124.0620412877295,127.45092755437038,ANT
3,162.59609288753106,166.788855968354,ANT
4,184.0473147119192,203.29896261946448,ANT
5,199.82505707700267,191.34123900087775,RUS
6,263.33294694453053,261.54429952151565,RUS
7,285.3630109647771,286.3038892088889,ANT
8,233.23061154666667,256.1840664057143,ANT
9,150.08017265566139,150.25177106634226,ANT
10,118.88050758560591,120.86527103957468,ANT
11,160.90735530775683,160.74980753652613,RUS
12,247.0707373815204,238.4475506955665,RUS
13,157.2781364615873,167.31998338369385,ANT
14,145.41766910607984,145.59266528254932,ANT
15,106.56236003364133,111.10388600519698,ANT
16,215.39139168889312,208.55125730164335,RUS
17,254.6191523915444,248.693725086866,RUS
18,128.52858121915804,119.26569275800469,RUS
19,239.01813308440637,234.34167114112554,RUS
20,273.4393386665226,270.1129155342079,RUS
21,200.32750723452506,225.6435564137729,ANT
22,150.76286049084533,137.87643793212527,RUS
23,216.78599623092146,216.74019441449002,RUS
24,230.82513053531338,224.16421699312238,RUS
25,255.875,255.51388657777775,RUS
