Minisector,HAM,GAS,Fastest
0,233.4211136098328,235.92100173249108,GAS
1,286.2251146842491,283.5285947211303,HAM
2,302.2924815688801,297.61133329066666,HAM
3,310.06509746147185,305.12961314920636,HAM
4,267.4001627548874,269.6795195625737,GAS
5,168.11673289961513,167.92222716219513,HAM
6,262.04606341313126,263.6710287637355,GAS
7,275.41585719466667,281.79980800237826,GAS
8,213.30352548030731,216.78197597045695,GAS
9,223.3174250989899,222.35351880948394,HAM
10,181.61203330435453,185.58678157432337,GAS
11,225.2570519425089,229.4381002419751,GAS
12,202.352527931684,202.38600249296877,GAS
13,209.14623852290902,211.6683360184668,GAS
14,221.2287953809524,224.82600217514454,GAS
15,180.2114919751905,181.8291600596703,GAS
16,250.210844682136,251.02969413034074,GAS
17,291.10835740038095,288.2633335466667,HAM
18,306.00923923478257,301.1719202318841,HAM
19,282.5797818498042,290.4702461733732,GAS
20,130.04995705304665,127.91703827775197,HAM
21,156.90491907932588,161.49410487793807,GAS
22,151.89383887629916,150.74335661318378,HAM
23,199.48892672695592,200.82634519769695,GAS
24,145.58247404614593,147.41416637535937,GAS
