Minisector,HAM,MAG,Fastest
0,294.3531891489079,288.1870856486544,HAM
1,207.04297003583358,195.10720860063702,HAM
2,230.92705841112416,227.20114289753252,HAM
3,275.16778266565143,270.96248411299723,HAM
4,230.3906457967113,230.8326397574251,MAG
5,128.3521059352471,126.06921478445646,HAM
6,215.51735263380945,208.4064017458231,HAM
7,260.30233910955945,255.67023780424555,HAM
8,207.97146448577183,206.21711134110703,HAM
9,207.70084494245674,205.89077649192143,HAM
10,265.06037910218254,261.9916225979027,HAM
11,214.49006526116082,208.0302130374152,HAM
12,183.00436221490932,173.59402723123029,HAM
13,261.4317746257148,255.0680187082251,HAM
14,281.2360319194027,276.97202825486653,HAM
15,264.4774304990999,258.39648874933914,HAM
16,247.35442374933837,238.231234561271,HAM
17,274.9502535996356,270.342304451212,HAM
18,285.99726450988516,283.12141609071637,HAM
19,180.4853997914001,175.16597533907665,HAM
20,214.06149306278317,212.6579783113802,HAM
21,171.19297318967816,175.77833939812913,MAG
22,145.75895741954264,139.6150960129037,HAM
23,243.90750748956887,235.98016165680232,HAM
24,282.2447900353243,274.3918258146501,HAM
25,,285.45833173333335,MAG
