Minisector,RUS,SAI,Fastest
0,262.4746194339182,260.65726118310727,RUS
1,279.5143865464627,278.2020634311111,RUS
2,278.5152855833333,283.7623631541853,SAI
3,122.75758122952438,134.62267422027534,SAI
4,192.4197244027171,196.9683090894978,SAI
5,253.99949047536438,253.47552811639142,RUS
6,141.72616623195398,140.1705407690261,RUS
7,197.0156904958153,206.47225317128445,SAI
8,249.8748250122449,254.80027491378183,SAI
9,272.55085942457663,274.3329563598762,SAI
10,229.8304099435168,228.06792857142858,RUS
11,177.72469611755102,172.60277524037528,RUS
12,181.39317327295075,189.32979182666668,SAI
13,142.79811514074075,142.97034682713405,SAI
14,165.3248419768889,166.80031004086962,SAI
15,155.9978995232653,155.57199963733333,RUS
16,204.89834059393937,213.5663785211538,SAI
17,226.68556126811893,229.34693987454185,SAI
18,230.72211886657598,236.3869458286624,SAI
19,239.24299998933142,217.64380614355485,RUS
20,144.89533033476644,147.82025999524964,SAI
21,130.91435473660619,127.47672225227971,RUS
22,161.64735927211754,169.87710342473517,SAI
23,150.21812957985185,151.01360540378906,SAI
24,225.9922239423045,230.46186915519328,SAI
25,249.08181643636362,,RUS
