Minisector,HUL,VAN,Fastest
0,276.33496178552076,277.70677864973544,VAN
1,299.62548045128204,307.99424564096444,VAN
2,311.5976562,329.31043943150183,VAN
3,319.2404761904762,343.1065473523809,VAN
4,324.68621792820517,344.5651785142857,VAN
5,322.67435897435894,342.72628299487184,VAN
6,213.71122814891777,186.03883485866666,HUL
7,105.89847717491621,105.68734070504837,HUL
8,194.6704204892707,192.60930005079365,HUL
9,269.03532896806723,266.153282296781,HUL
10,293.70952380952383,297.5877777777778,VAN
11,159.59976567699135,154.33916696,HUL
12,100.26368583857784,96.72928997988309,HUL
13,118.1858011946694,120.03178069376571,VAN
14,221.86258992761904,216.61598943722944,HUL
15,186.7818404166357,181.71613442762194,HUL
16,226.52812620490914,210.18787805367964,HUL
17,176.22901378725575,172.49776258648197,HUL
18,243.80482498245615,240.90011017543858,HUL
19,282.57936472380953,277.92556114784736,HUL
20,244.91567247866993,225.3747853364874,HUL
21,145.40793788077357,135.06391338544165,HUL
22,100.07056171214664,97.83682697809988,HUL
23,129.35643466997698,125.65492209960551,HUL
24,232.5859483983166,230.91929807719296,HUL
