Minisector,NOR,GAS,Fastest
0,278.3171310811947,278.081697298707,NOR
1,298.4426557386766,292.41363566198123,NOR
2,298.95017011809523,285.0801214403447,NOR
3,183.22936163115133,164.44510261308497,NOR
4,117.82227898695666,119.51783438482846,GAS
5,241.26687300720235,238.12655779138098,NOR
6,282.282444935766,284.63980321923725,GAS
7,294.35608542698566,290.6129188426025,NOR
8,182.48809806211997,171.4402907851531,NOR
9,144.5976882650608,138.88010701021588,NOR
10,251.83451503869713,249.9037088223176,NOR
11,290.0338064202616,287.948828614282,NOR
12,292.1546655363975,302.6128516007449,GAS
13,265.5021522147,279.98547302115554,GAS
14,297.15977072761905,304.120007130886,GAS
15,300.2456359903455,304.53616601145495,GAS
16,247.30623170556066,247.40963731516484,GAS
17,226.4068545630226,221.29766491411644,NOR
18,281.9800259318212,287.0431097450607,GAS
19,305.75839021865227,318.97985252152876,GAS
20,309.64676114610404,323.5577657687075,GAS
21,241.10933553228548,217.6036094737415,NOR
22,261.30886973018505,257.2588219897436,NOR
23,132.6981829755002,137.59091698314708,GAS
24,221.10028647854546,210.8268828938095,NOR
25,,258.85499904,GAS
